,addr,code,created_at,lat,lng,name,remain_stat,stock_at,type
0,대전광역시 동구 계족로 476 (용전동),34800069,2020/04/01 11:30:00,36.354151,127.4328977,유산균약국,plenty,2020/04/01 08:33:00,01
1,대전광역시 동구 태전로 163 (삼성동),34800085,2020/04/01 11:30:00,36.3420065,127.4193438,새시대약국,plenty,2020/04/01 09:58:00,01
2,대전광역시 동구 산내로 1360 (낭월동),34800280,2020/04/01 11:30:00,36.284489,127.4660509,동인약국,plenty,2020/04/01 08:56:00,01
3,대전광역시 동구 동대전로284번길 3 (가양동),34800794,2020/04/01 11:30:00,36.3463152,127.4454481,녹십자약국,some,2020/03/31 12:25:00,01
4,대전광역시 동구 대흥로 211-1 (원동),34800964,2020/04/01 11:30:00,36.3268131,127.4348093,유신약국,plenty,2020/03/31 18:07:00,01
5,대전광역시 동구 중앙로 209-1 (중동),34800999,2020/04/01 11:30:00,36.3312764,127.4321211,대동약국,plenty,2020/03/30 09:15:00,01
6,대전광역시 동구 천동초등동길 14 (효동),34801031,2020/04/01 11:30:00,36.3175116,127.4428576,길약국,plenty,2020/03/31 10:59:00,01
7,"대전광역시 동구 대전로 646 상가동 1층 101호 (효동, 효동현대아파트)",34801057,2020/04/01 11:30:00,36.3182479,127.4407245,구일약국,few,2020/03/31 14:50:00,01
8,대전광역시 동구 대전로 463 (가오동),34801103,2020/04/01 11:30:00,36.3068303,127.45099569999999,가오약국,plenty,2020/04/01 08:58:00,01
9,대전광역시 동구 계족로 73 (신흥동),34801120,2020/04/01 11:30:00,36.321147,127.4438827,여명약국,plenty,2020/04/01 07:38:00,01
10,대전광역시 동구 충무로 193 (인동),34801197,2020/04/01 11:30:00,36.3217948,127.4373455,진문약국,plenty,2020/04/01 10:58:00,01
11,대전광역시 동구 동서대로1748번길 82 1층 (가양동),34801341,2020/04/01 11:30:00,36.3501048,127.4467248,신유약국,plenty,2020/04/01 09:19:00,01
12,대전광역시 동구 동대전로284번길 120 (가양동),34801375,2020/04/01 11:30:00,36.3494023,127.4510183,근영약국,empty,2020/03/30 22:16:00,01
13,대전광역시 동구 대전로 788 (중동),34801456,2020/04/01 11:30:00,36.3299752,127.4335872,동춘약국,plenty,2020/04/01 09:42:00,01
14,대전광역시 동구 대전로 787 1층 (중동),34801472,2020/04/01 11:30:00,36.3298247,127.4331492,독일약국,plenty,2020/04/01 09:34:00,01
15,대전광역시 동구 동산초교로23번길 5 (홍도동),34801553,2020/04/01 11:30:00,36.3461606,127.4265611,버들온누리약국,some,2020/04/01 10:32:00,01
16,"대전광역시 동구 동부로 73 상가동 107호 (판암동, 주공아파트)",34801642,2020/04/01 11:30:00,36.3228605,127.4590896,복지약국,few,2020/03/31 10:16:00,01
17,대전광역시 동구 계족로 490 (용전동),34801651,2020/04/01 11:30:00,36.3553664,127.4330316,온누리윤약국,plenty,2020/04/01 08:59:00,01
18,대전광역시 동구 동대전로 59 (대동),34801715,2020/04/01 11:30:00,36.3290468,127.4411239,남정약국,plenty,2020/04/01 09:12:00,01
19,대전광역시 동구 계족로 255 (소제동),34801731,2020/04/01 11:30:00,36.335553,127.4388968,자영약국,plenty,2020/04/01 10:32:00,01
20,대전광역시 동구 동대전로 200 (자양동),34801740,2020/04/01 11:30:00,36.339397,127.4491022,성모약국,plenty,2020/04/01 09:07:00,01
21,대전광역시 동구 흥룡로 37 (가양동),34801791,2020/04/01 11:30:00,36.3492202,127.4477715,유심약국,plenty,2020/04/01 09:55:00,01
22,대전광역시 동구 계족로 254 (소제동),34801952,2020/04/01 11:30:00,36.3357969,127.4394378,장원약국,plenty,2020/03/31 13:53:00,01
23,대전광역시 동구 대전로 774-2 1층 (원동),34802002,2020/04/01 11:30:00,36.328958,127.4341362,용화약국,plenty,2020/03/31 09:27:00,01
24,대전광역시 동구 태전로 169 (삼성동),34802207,2020/04/01 11:30:00,36.342277,127.4189885,명지약국,plenty,2020/04/01 09:40:00,01
25,대전광역시 동구 대전로 889 1층 (삼성동),34802223,2020/04/01 11:30:00,36.3383895,127.4288292,우리온누리약국,plenty,2020/04/01 09:05:00,01
26,대전광역시 동구 은어송로 60 (가오동),34802231,2020/04/01 11:30:00,36.306187800000004,127.4561453,가오온누리약국,plenty,2020/03/31 13:09:00,01
27,대전광역시 동구 옥천로180번길 18 (판암동),34802649,2020/04/01 11:30:00,36.3165359,127.4605921,청우온누리약국,plenty,2020/04/01 10:02:00,01
28,"대전광역시 동구 은어송로 62 105호 (가오동, 지오빌딩)",34802754,2020/04/01 11:30:00,36.3063591,127.4563813,하늘약국,plenty,2020/04/01 11:16:00,01
29,"대전광역시 동구 동서대로 1689 1층 EW143호 (용전동, 대전복합터미널(서관))",34802797,2020/04/01 11:30:00,36.3502914,127.436705,일심약국,plenty,2020/04/01 07:25:00,01
30,대전광역시 동구 대전로 619 (효동),34802801,2020/04/01 11:30:00,36.3158922,127.4399961,용약국,plenty,2020/04/01 08:54:00,01
31,대전광역시 동구 동서대로 1653 1층 (용전동),34803131,,36.3482867,127.4334216,백화당약국,,,01
32,대전광역시 동구 대전로 771 (원동),34803319,2020/04/01 11:30:00,36.3284833,127.433797,청담약국,plenty,2020/03/30 09:17:00,01
33,대전광역시 동구 현암로 18 (삼성동),34803530,2020/04/01 11:30:00,36.3427091,127.4210812,임마누엘약국,plenty,2020/03/31 12:51:00,01
34,대전광역시 동구 대전로 812 (정동),34803823,2020/04/01 11:30:00,36.3320595,127.4324792,역전약국,plenty,2020/04/01 10:10:00,01
35,대전광역시 동구 계족로 324 (성남동),34804242,2020/04/01 11:30:00,36.3411973,127.4359481,대성당약국,plenty,2020/04/01 10:12:00,01
36,대전광역시 동구 계족로382번길 35 (성남동),34804854,2020/04/01 11:30:00,36.34645,127.4349366,효촌약국,plenty,2020/03/31 14:08:00,01
37,대전광역시 동구 계족로 516 1층 (용전동),34804871,2020/04/01 11:30:00,36.357874699999996,127.433248,튼튼약국,plenty,2020/04/01 08:28:00,01
38,대전광역시 동구 계족로 425 1층 (용전동),34810609,2020/04/01 11:30:00,36.3497443,127.4318851,새소망약국,some,2020/03/31 11:06:00,01
39,대전광역시 동구 계족로 416 1층 (용전동),34811630,2020/04/01 11:30:00,36.3488246,127.4323219,용전약국,plenty,2020/03/31 17:22:00,01
40,대전광역시 동구 중앙로 193 (중동),34811923,2020/04/01 11:30:00,36.3306808,127.4305503,한독약국,plenty,2020/04/01 09:49:00,01
41,대전광역시 동구 동대전로 72-1 (대동),34812041,2020/04/01 11:30:00,36.3291028,127.442574,민정약국,plenty,2020/04/01 10:46:00,01
42,대전광역시 동구 우암로 229 (가양동),34813063,2020/04/01 11:30:00,36.343824,127.441799,다정약국,plenty,2020/04/01 08:56:00,01
43,대전광역시 동구 우암로 310 (가양동),34813217,2020/04/01 11:30:00,36.347103,127.4497818,신독일약국,plenty,2020/03/31 17:53:00,01
44,대전광역시 동구 태전로 175 (삼성동),34813284,2020/04/01 11:30:00,36.3426346,127.4185728,소영약국,plenty,2020/04/01 09:44:00,01
45,대전광역시 동구 동대전로 286 1층 (가양동),34813713,2020/04/01 11:30:00,36.3465786,127.4453295,시온약국,plenty,2020/04/01 07:53:00,01
46,대전광역시 동구 보문로 4 플러스크리닉 1층 (효동),34814060,2020/04/01 11:30:00,36.3154081,127.4400922,강산약국,plenty,2020/04/01 10:42:00,01
47,대전광역시 동구 계족로392번길 64 (성남동),34814442,2020/04/01 11:30:00,36.3477658,127.4358854,사랑우리들약국,plenty,2020/03/30 08:34:00,01
48,대전광역시 동구 대전로 787-2 (중동),34814787,2020/04/01 11:30:00,36.3299318,127.4330386,희망약국,plenty,2020/04/01 08:18:00,01
49,대전광역시 동구 옥천로180번길 4 (판암동),34815121,2020/04/01 11:30:00,36.3170975,127.4602978,오약국,few,2020/04/01 09:05:00,01
50,대전광역시 동구 계족로 75 (신흥동),34815325,2020/04/01 11:30:00,36.3214033,127.4439894,해오름약국,plenty,2020/04/01 08:49:00,01
51,대전광역시 동구 동대전로 81 (대동),34815619,2020/04/01 11:30:00,36.3300034,127.4430566,태평양약국,plenty,2020/04/01 08:51:00,01
52,대전광역시 동구 동부로73번길 6 1층 1호 (판암동),34815732,2020/04/01 11:30:00,36.3225323,127.4608855,마루약국,plenty,2020/04/01 09:23:00,01
53,대전광역시 동구 대전로 307 (대성동),34816046,2020/04/01 11:30:00,36.2952017,127.4605031,중앙약국,plenty,2020/04/01 09:00:00,01
54,대전광역시 동구 대전천동로 574 (중동),34818707,2020/04/01 11:30:00,36.3315418,127.4282174,한사랑약국,plenty,2020/04/01 09:50:00,01
55,대전광역시 동구 우암로 172 (성남동),34818774,2020/04/01 11:30:00,36.340955,127.4366337,하나약국,few,2020/04/01 08:58:00,01
56,대전광역시 동구 홍도로 21 (홍도동),34819380,2020/04/01 11:30:00,36.3481654,127.4293809,홍도약국,plenty,2020/04/01 11:03:00,01
57,대전광역시 동구 은어송로 33 1층 (가오동),34819894,2020/04/01 11:30:00,36.3049545,127.4535128,나눔약국,plenty,2020/03/31 12:12:00,01
58,대전광역시 동구 옥천로 148 (판암동),34820329,2020/04/01 11:30:00,36.3166631,127.4566505,명약국,break,2020/03/30 08:22:00,01
59,대전광역시 동구 옥천로 170 (판암동),34822216,2020/04/01 11:30:00,36.3168277,127.4593232,판암늘사랑약국,plenty,2020/03/31 14:56:00,01
60,대전광역시 동구 우암로147번길 3 (삼성동),34822577,2020/04/01 11:30:00,36.3400224,127.4341422,한일약국,plenty,2020/04/01 08:55:00,01
61,대전광역시 동구 동대전로 272 타임빌딩 101호 (가양동),34822721,2020/04/01 11:30:00,36.3454323,127.4462655,건강약국,plenty,2020/04/01 11:05:00,01
62,대전광역시 동구 동서대로 1670 (성남동),34822976,2020/04/01 11:30:00,36.3482043,127.4354253,플러스한국약국,some,2020/03/30 08:41:00,01
63,대전광역시 동구 동서대로 1629-6 (홍도동),34823328,2020/04/01 11:30:00,36.3475192,127.4314422,대전종로약국,plenty,2020/04/01 09:23:00,01
64,대전광역시 동구 백룡로 145 1층 (용운동),34823620,2020/04/01 11:30:00,36.3280289,127.4543084,용운태평양약국,break,2020/03/31 12:54:00,01
65,대전광역시 동구 산내로1287번길 10-5 (낭월동),34824600,2020/04/01 11:30:00,36.2786116,127.4681729,메디팜산내약국,plenty,2020/04/01 08:53:00,01
66,대전광역시 동구 충정로 137 (자양동),34824651,2020/04/01 11:30:00,36.3427503,127.4492106,푸른태평양약국,plenty,2020/04/01 08:50:00,01
67,대전광역시 동구 산내로 1317 (낭월동),34826327,2020/04/01 11:30:00,36.2810621,127.4674689,정류장약국,plenty,2020/04/01 10:01:00,01
68,대전광역시 동구 우암로 326 (가양동),34826947,2020/04/01 11:30:00,36.3480903,127.4510837,새가양약국,plenty,2020/04/01 08:09:00,01
69,대전광역시 동구 계족로 412 (용전동),34826955,2020/04/01 11:30:00,36.3483979,127.4323421,삼성약국,plenty,2020/04/01 08:26:00,01
70,대전광역시 동구 동서대로1668번길 33 청암빌딩 1층 (성남동),34827641,2020/04/01 11:30:00,36.3469385,127.435234,푸른약국,plenty,2020/04/01 10:21:00,01
71,대전광역시 동구 계족로 393-1 (성남동),34827943,2020/04/01 11:30:00,36.3468576,127.4320773,한솔약국,plenty,2020/04/01 09:31:00,01
72,대전광역시 동구 동서대로 1676 (성남동),34828290,2020/04/01 11:30:00,36.3485461,127.4360852,대덕약국,plenty,2020/04/01 08:25:00,01
73,대전광역시 동구 은어송로 58 (가오동),34829458,2020/04/01 11:30:00,36.3060427,127.4559283,은어송약국,plenty,2020/04/01 10:06:00,01
74,대전광역시 동구 동구청로 95 (가오동),34829911,2020/04/01 11:30:00,36.3064929,127.456713,가오예시티약국,plenty,2020/04/01 08:57:00,01
75,대전광역시 동구 대전로815번길 1 (정동),34830651,2020/04/01 11:30:00,36.3321228,127.4318996,동해당약국,some,2020/04/01 08:40:00,01
76,대전광역시 동구 동대전로 231 (가양동),34830952,2020/04/01 11:30:00,36.3420799,127.4478641,칠성약국,some,2020/04/01 09:51:00,01
77,대전광역시 동구 동서대로 1661 1층 (용전동),34831797,2020/04/01 11:30:00,36.3486039,127.4342595,알찬약국,plenty,2020/04/01 11:14:00,01
78,대전광역시 동구 대전로779번길 5 (원동),34831894,2020/04/01 11:30:00,36.3292288,127.4334419,유림약국,plenty,2020/04/01 07:46:00,01
79,대전광역시 동구 용운로 159-1 (용운동),34831916,2020/04/01 11:30:00,36.32812,127.4602082,늘푸른약국,plenty,2020/04/01 09:00:00,01
80,대전광역시 동구 용운로 170-1 (용운동),34831975,2020/04/01 11:30:00,36.3276284,127.4611858,동대전약국,empty,2020/03/31 13:52:00,01
81,대전광역시 동구 동대전로 288 (가양동),34832751,2020/04/01 11:30:00,36.3467069,127.445301,보령약국,plenty,2020/04/01 08:22:00,01
82,대전광역시 동구 동대전로 80 (대동),34833269,2020/04/01 11:30:00,36.3296356,127.4433766,구세약국,some,2020/04/01 09:00:00,01
83,대전광역시 동구 동서대로 1688 1층 (성남동),34833285,2020/04/01 11:30:00,36.3488949,127.437419,토마토약국,plenty,2020/04/01 10:41:00,01
84,대전광역시 동구 대전로 822 (정동),34833340,2020/04/01 11:30:00,36.3327349,127.4322114,새빛나약국,empty,2020/03/31 14:45:00,01
85,대전광역시 동구 신기로101번길 21 (가오동),34833561,2020/04/01 11:30:00,36.3107994,127.4559284,힘나는약국,plenty,2020/03/31 10:20:00,01
86,대전광역시 동구 계족로 362 (성남동),34833803,2020/04/01 11:30:00,36.344441,127.4340847,성남늘사랑약국,some,2020/04/01 09:57:00,01
87,대전광역시 동구 한밭대로 1282 (용전동),34834737,2020/04/01 11:30:00,36.3537977,127.4372978,프라자약국(한약국),plenty,2020/04/01 11:21:00,01
88,대전광역시 동구 대전로815번길 133 (삼성동),34834940,2020/04/01 11:30:00,36.3372395,127.42806,선인약국,plenty,2020/04/01 09:09:00,01
89,대전광역시 동구 동부로 27 1층 104호 (판암동),34835415,2020/04/01 11:30:00,36.3195803,127.4567035,오케이약국(OK약국),plenty,2020/03/31 12:08:00,01
90,대전광역시 동구 은어송로 73 1층 1호 (가오동),34835601,2020/04/01 11:30:00,36.3072536,127.4568618,굿모닝약국,plenty,2020/04/01 11:15:00,01
91,대전광역시 동구 대전로 782-1 (원동),34836888,2020/04/01 11:30:00,36.3295817,127.4337767,보명사약국,plenty,2020/04/01 07:55:00,01
92,대전광역시 동구 은어송로 72 패션아일랜드 지하1층 (가오동),34836934,2020/04/01 11:30:00,36.3069125,127.4580528,누리약국,plenty,2020/04/01 10:50:00,01
93,"대전광역시 동구 동구청로 101 103호 (가오동, 세이프존)",34837094,2020/04/01 11:30:00,36.3070812,127.4561397,새봄약국,plenty,2020/03/31 12:08:00,01
94,대전광역시 동구 동산초교로 41 105호 (홍도동),34837132,2020/03/22 23:55:00,36.3473753,127.4251717,조이약국,empty,2020/03/16 09:14:00,01
95,대전광역시 동구 은어송로 55 그린타워 1층 102호 (가오동),34837311,2020/04/01 11:30:00,36.3061881,127.4553591,태약국,plenty,2020/04/01 10:23:00,01
96,대전광역시 동구 대전로813번길 24 (중동),34837698,2020/04/01 11:30:00,36.331708,127.4308168,중도한약국,plenty,2020/04/01 10:51:00,01
97,대전광역시 동구 동서대로 1689 (용전동),34837761,2020/04/01 11:30:00,36.350649,127.437186,노닐약국,plenty,2020/04/01 10:37:00,01
98,대전광역시 동구 대학로 62-10 (용운동),34838007,,36.3353571,127.4570115,대전한약국,,,01
99,대전광역시 동구 동서대로1520번길 28 (삼성동),34839682,2020/04/01 11:30:00,36.3401628,127.4228288,조은약국,plenty,2020/04/01 09:20:00,01
100,대전광역시 동구 계족로 495 1층 (용전동),34839844,2020/04/01 11:30:00,36.3559267,127.4325185,진 한약국,plenty,2020/04/01 08:57:00,01
101,"대전광역시 동구 동서대로 1689 5층 505호 (용전동, 대전복합터미널(서관))",34840028,2020/04/01 11:30:00,36.3503837,127.4366377,한우리약국,plenty,2020/03/30 10:40:00,01
102,"대전광역시 동구 동부로73번길 20-7 (용운동, 용운동근생시설신축공사)",34840087,2020/04/01 11:30:00,36.3234077,127.460785,정다운약국,plenty,2020/04/01 08:16:00,01
103,대전광역시 동구 대전로 832-2 1층 (정동),34840214,2020/04/01 11:30:00,36.3338079,127.4317252,진약국,plenty,2020/03/31 12:19:00,01
104,대전광역시 동구 계족로 171 1층 102호 (대동),34840508,2020/04/01 11:30:00,36.3290285,127.4428665,메디컬대동약국,plenty,2020/04/01 10:23:00,01
105,대전광역시 동구 한남로 13-1 (홍도동),34840516,2020/04/01 11:30:00,36.3510767,127.4265638,한남약국(한약국),empty,2020/03/31 11:56:00,01
106,"대전광역시 동구 옥천로 183 1층 119,120,121,122호 (판암동)",34840605,2020/04/01 11:30:00,36.3179341,127.460282,판암제일약국,break,2020/03/31 10:48:00,01
107,대전광역시 동구 계족로140번길 178 1층 (용운동),34840681,2020/04/01 11:30:00,36.3281063,127.4539627,정약국,break,2020/03/31 12:56:00,01
108,대전광역시 동구 대전로 786-1 (원동),34840893,2020/04/01 11:30:00,36.3298444,127.4336551,금강약국,plenty,2020/04/01 07:11:00,01
109,대전광역시 동구 현암로 24 (삼성동),34841008,2020/04/01 11:30:00,36.3427293,127.4201492,늘사랑약국,plenty,2020/04/01 10:03:00,01
110,대전광역시 동구 동구청로 205 1층 (판암동),34841067,2020/04/01 11:30:00,36.3161689,127.4561773,기쁜우리약국,plenty,2020/04/01 09:04:00,01
111,대전광역시 동구 대전로542번길 80-57 어울림타워 102호 (천동),34841075,2020/04/01 11:30:00,36.3161998,127.4468168,행복약국,empty,2020/04/01 11:02:00,01
112,대전광역시 동구 동서대로 1641 아남빌딩 별관 1층 (용전동),34841776,2020/04/01 11:30:00,36.3479322,127.4324003,아남메디컬약국,plenty,2020/03/31 12:46:00,01
113,대전광역시 동구 계족로 37 1층 (효동),34841938,2020/04/01 11:30:00,36.3182071,127.4420297,영성일약국,some,2020/03/31 10:05:00,01
114,"대전광역시 동구 대전로 664 203호 (인동, 현대아파트)",34842551,,36.3196576,127.4397209,연령한약국,,,01
115,대전광역시 동구 동대전로46번길 11 101호 (대동),34842781,2020/04/01 11:30:00,36.3279168,127.4403164,더드림약국,plenty,2020/04/01 10:15:00,01
116,대전광역시 동구 동대전로 270 (가양동),34843035,2020/04/01 11:30:00,36.3452114,127.4463048,다사랑약국,plenty,2020/04/01 08:51:00,01
117,대전광역시 동구 곤룡로 6 (낭월동),34843256,2020/04/01 11:30:00,36.279902,127.4685912,낭월우리약국,break,2020/03/31 13:58:00,01
118,대전광역시 동구 은어송로 63 글로리타워 투 105호 (가오동),34843299,2020/04/01 11:30:00,36.3066737,127.4560317,스마일약국,plenty,2020/04/01 10:23:00,01
119,대전광역시 동구 동대전로 90 (대동),34843370,2020/04/01 11:30:00,36.3304171,127.4438288,건강제일약국,plenty,2020/04/01 10:38:00,01
120,대전광역시 동구 동서대로1695번길 4 1층 (용전동),34843485,2020/04/01 11:30:00,36.3499328,127.438075,마음약국,plenty,2020/04/01 10:30:00,01
121,대전광역시 동구 동부로 75 (판암동),34843515,2020/04/01 11:30:00,36.3223909,127.4608542,판암미소약국,plenty,2020/03/31 12:34:00,01
122,대전광역시 동구 산내로 1324 (낭월동),3058221283,2020/04/01 11:30:00,36.2815988,127.4678711,산내농협하나로마트,break,2020/03/31 13:56:00,03
123,"대전광역시 동구 계족로 63 (인동,동대전농협)",3068200748,2020/04/01 11:30:00,36.3202896,127.443043,동대전농협하나로마트,empty,2020/03/31 13:05:00,03
